# index color lcper lcamp obsno absmag
0.000000000000000000e+00 4.449335668020587553e-01 6.797150666127567575e+00 7.700305514156360331e-01 5.877007600928633337e+02 1.741864015222950712e+01
1.000000000000000000e+00 1.717297419696488248e-01 2.660576804050103306e+01 7.700536002800042468e-01 2.688178931077044709e+01 1.684657404438163297e+01
2.000000000000000000e+00 5.956455876663143689e-01 1.983883378280657794e+01 1.084536123209887348e+00 1.368614137850578629e+02 1.715803461063049085e+01
3.000000000000000000e+00 7.595748369651692533e-01 5.652535436169885408e+00 1.149430171675968948e+00 1.982008488009142297e+02 1.946454845344674567e+01
4.000000000000000000e+00 6.506490004640296254e-01 8.161157303248266714e+00 8.452677116698615878e-01 4.485165790978372229e+02 1.571464553282065779e+01
5.000000000000000000e+00 8.418543063194905418e-02 4.281311259121361346e+00 1.262649642810244277e+00 3.129256127173183017e+02 1.951104715480001062e+01
6.000000000000000000e+00 4.880957447790021386e-01 2.727925855642701336e+01 1.221381880038573620e+00 1.505260527607193488e+01 1.924396260919330359e+01
7.000000000000000000e+00 9.006735798343841193e-01 3.024740930012578488e+00 1.465022236485793661e+00 2.626719124842789199e+01 1.968356598782224864e+01
8.000000000000000000e+00 3.714947896422107765e-01 1.143721467082218268e+01 8.350092220110918451e-01 8.044491689197316475e+01 1.889548164249501028e+01
9.000000000000000000e+00 7.153126020379583228e-01 4.125808756917066056e+00 1.681154684328475923e+00 4.469404401924773396e+01 1.834389866923107348e+01
1.000000000000000000e+01 5.646408823968982471e-01 2.466767686724793762e+01 1.159143374296009998e+00 5.899899093149452938e+02 1.682233921788888864e+01
1.100000000000000000e+01 6.987295188367552701e-01 3.150298316007268795e+01 1.363727843806224582e+00 1.481403920591646681e+02 1.479623387502380893e+01
1.200000000000000000e+01 7.785477458594630695e-02 1.930737042518628854e+01 1.497373820275054612e+00 3.382563360132881058e+01 1.853756830210032547e+01
1.300000000000000000e+01 4.509693154654647040e-01 2.219597872976698483e+01 6.412633159411937900e-01 1.124437240219748873e+02 1.857426441848887322e+01
1.400000000000000000e+01 1.662593506667430499e-01 1.689286363716384187e+01 2.354280156733640439e+00 6.049584692926743656e+01 1.857368190437451716e+01
1.500000000000000000e+01 6.821596782408173576e-01 4.914399828280815896e+00 1.579636931192733407e+00 5.211753229525017161e+01 1.623505968174222147e+01
1.600000000000000000e+01 2.717874386477865944e-01 3.599717523309117695e+01 1.553771790901123939e+00 2.667788630278658957e+02 1.853808861486351134e+01
1.700000000000000000e+01 6.532920106848367769e-01 1.382624528831322408e+01 1.181097671856574660e+00 1.174109569917092273e+02 1.852562112313612630e+01
1.800000000000000000e+01 5.910894850463452865e-01 1.097599649216042650e+01 5.908730966601754009e-01 1.062860895673459964e+02 1.832809927266236372e+01
1.900000000000000000e+01 8.031184674355349440e-01 5.769691394501498927e+00 8.829432301904621694e-01 1.893649105243804911e+02 1.758340735987267323e+01
2.000000000000000000e+01 6.166794136095254952e-01 2.057757345603509691e+01 9.984139250541688160e-01 1.155110619355996882e+01 1.761587121219949381e+01
2.100000000000000000e+01 4.783167456553850672e-01 3.253344788493710560e+00 7.888960124705685084e-01 9.921919541272946219e+01 1.721969621502651648e+01
2.200000000000000000e+01 2.644170564002449320e-01 2.051207555257660076e+01 9.723898811051080449e-01 1.614809560145414480e+02 1.513137014790922663e+01
2.300000000000000000e+01 6.335763826396122456e-01 1.145784694398165726e+01 1.252571982532606487e+00 3.834018791147263983e+01 1.367468619377338968e+01
2.400000000000000000e+01 4.568174254149094948e-01 1.485349537511263662e+01 1.028746303499634918e+00 1.207008326943504102e+02 1.856235634611535090e+01
2.500000000000000000e+01 6.255245244395121196e-01 1.447965054841793986e+01 7.534516237642467917e-01 4.262612072230864158e+01 1.638376509682396787e+01
2.600000000000000000e+01 6.219192347121577091e-01 2.831416836889540534e+01 6.202132546910447131e-01 5.436720345201641180e+01 1.897334047843430582e+01
2.700000000000000000e+01 5.962972631398046897e-01 1.117985111797887043e+01 1.180276932603036011e+00 2.564495731487653174e+01 1.784324749841798763e+01
2.800000000000000000e+01 1.449584955391748919e-01 1.815503161525209563e+01 9.502849782576525683e-01 1.881630057550646882e+02 1.968315479283666747e+01
2.900000000000000000e+01 4.043016210498374119e-01 1.296040206971144748e+01 1.056675613788289558e+00 6.807878002947408902e+01 1.967258288850027625e+01
3.000000000000000000e+01 3.931968146858138002e-01 1.060508842071924533e+02 9.301368058964805119e-01 5.595421563497326645e+01 1.862367661841732769e+01
3.100000000000000000e+01 4.222127349337786439e-01 6.114990028532306887e+00 1.028664970723247141e+00 3.270544468829577909e+02 1.421255375109374697e+01
3.200000000000000000e+01 3.772338216098523600e-01 1.717574261501367516e+01 9.881900844284586816e-01 8.475006405059434655e+01 1.477258552224007815e+01
3.300000000000000000e+01 5.842657147849938948e-01 3.458107849848552462e+00 1.167081097794287592e+00 6.446791796246039041e+01 1.805022399848548531e+01
3.400000000000000000e+01 4.308997692016465764e-01 1.086803647641213466e+01 6.138669873889701645e-01 2.420188479919899294e+02 1.858835680727581519e+01
3.500000000000000000e+01 3.872531527271689811e-01 1.146965735612005233e+01 1.348076831237797313e+00 1.900006037900470517e+02 1.662083914751162439e+01
3.600000000000000000e+01 4.751110067195135622e-01 7.952532788552149512e+00 7.314110251235025340e-01 1.429052441731892316e+02 1.900067019135621393e+01
